Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Login/TC004_Login_With_Empty_Username,Chrome 129.0.0.0,User can't login with invalid credential,,28-09-2024 16:39:17,28-09-2024 16:39:25,7.315s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,28-09-2024 16:39:17,28-09-2024 16:39:18,0.613s,PASSED
"setViewPortSize(1480, 1000)",Chrome 129.0.0.0,,,28-09-2024 16:39:18,28-09-2024 16:39:18,0.386s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 129.0.0.0,,,28-09-2024 16:39:18,28-09-2024 16:39:21,2.569s,PASSED
"click(findTestObject(""Object Repository/Objek_Login/a_Make Appointment""))",Chrome 129.0.0.0,,,28-09-2024 16:39:21,28-09-2024 16:39:22,0.622s,PASSED
"click(findTestObject(""Object Repository/Objek_Login/form_Demo account _b80bac""))",Chrome 129.0.0.0,,,28-09-2024 16:39:22,28-09-2024 16:39:22,0.482s,PASSED
"setText(findTestObject(""Object Repository/Objek_Login/input_Username_username""), findTestData(""Test Data Login"").getValue(1, 5))",Chrome 129.0.0.0,,,28-09-2024 16:39:22,28-09-2024 16:39:23,0.539s,PASSED
"setText(findTestObject(""Object Repository/Objek_Login/input_Password_password""), findTestData(""Test Data Login"").getValue(2, 5))",Chrome 129.0.0.0,,,28-09-2024 16:39:23,28-09-2024 16:39:23,0.560s,PASSED
"click(findTestObject(""Object Repository/Objek_Login/button_Login""))",Chrome 129.0.0.0,,,28-09-2024 16:39:23,28-09-2024 16:39:24,0.777s,PASSED
"notificationLoginFailed = verifyElementPresent(findTestObject(""Object Repository/Objek_Login/p_Login failed Please ensure the username a_eb55b5""), 0)",Chrome 129.0.0.0,,,28-09-2024 16:39:24,28-09-2024 16:39:24,0.262s,PASSED
takeScreenshot(),Chrome 129.0.0.0,,,28-09-2024 16:39:24,28-09-2024 16:39:24,0.333s,PASSED
if (notificationLoginFailed),Chrome 129.0.0.0,,,28-09-2024 16:39:24,28-09-2024 16:39:24,0.002s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,28-09-2024 16:39:24,28-09-2024 16:39:25,0.118s,PASSED
,,,,,,,
Test Cases/Login/TC005_Login_With_Empty_Password,Chrome 129.0.0.0,User can't login with invalid credential,,28-09-2024 16:39:25,28-09-2024 16:39:34,8.889s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,28-09-2024 16:39:25,28-09-2024 16:39:25,0.594s,PASSED
"setViewPortSize(1480, 1000)",Chrome 129.0.0.0,,,28-09-2024 16:39:25,28-09-2024 16:39:26,0.384s,PASSED
