Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 129.0.0.0,,,24-09-2024 23:05:35,24-09-2024 23:06:15,39.772s,PASSED
,,,,,,,
Test Cases/Login/TC001_Login_With_Valid_Credential,Chrome 129.0.0.0,User can login with valid credential,,24-09-2024 23:05:36,24-09-2024 23:05:44,8.791s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,24-09-2024 23:05:36,24-09-2024 23:05:37,1.474s,PASSED
"setViewPortSize(1480, 1000)",Chrome 129.0.0.0,,,24-09-2024 23:05:37,24-09-2024 23:05:38,0.405s,PASSED
navigateToUrl(baseUrl),Chrome 129.0.0.0,,,24-09-2024 23:05:38,24-09-2024 23:05:40,2.652s,PASSED
"click(findTestObject(""Object Repository/Objek_Login/a_Make Appointment""))",Chrome 129.0.0.0,,,24-09-2024 23:05:40,24-09-2024 23:05:41,0.688s,PASSED
"setText(findTestObject(""Object Repository/Objek_Login/input_Username_username""), findTestData(""Test Data Login"").getValue(1, 1))",Chrome 129.0.0.0,,,24-09-2024 23:05:41,24-09-2024 23:05:42,1.020s,PASSED
"setText(findTestObject(""Object Repository/Objek_Login/input_Password_password""), findTestData(""Test Data Login"").getValue(2, 1))",Chrome 129.0.0.0,,,24-09-2024 23:05:42,24-09-2024 23:05:43,0.566s,PASSED
"click(findTestObject(""Object Repository/Objek_Login/button_Login""))",Chrome 129.0.0.0,,,24-09-2024 23:05:43,24-09-2024 23:05:43,0.782s,PASSED
"appointmentAppears = verifyElementPresent(findTestObject(""Object Repository/Objek_Login/h2_Make Appointment""), 0)",Chrome 129.0.0.0,,,24-09-2024 23:05:43,24-09-2024 23:05:44,0.480s,PASSED
takeScreenshot(),Chrome 129.0.0.0,,,24-09-2024 23:05:44,24-09-2024 23:05:44,0.424s,PASSED
if (appointmentAppears),Chrome 129.0.0.0,,,24-09-2024 23:05:44,24-09-2024 23:05:44,0.020s,PASSED
,,,,,,,
